Category,Headline,Summary,URL,Category_encoded,cluster
arts,Why ‘The Jinx’ Owes Its Existence to a Bizarre Movie About Robert Durst,Film can be influential in strange ways. The HBO series and follow-up wouldn’t have been made if a killer hadn’t taken a liking to a fictional portrayal.,https://www.nytimes.com/section/arts,0,1
arts,Art Market Seeks Its Footing After Stumbling Sales and a Hack at Christie’s,Declining sales and a cyberattack ignite new worries at spring art auctions.,https://www.nytimes.com/section/arts,0,1
arts,‘Saturday Night Live’ Wishes You a Happy Mother’s Day,The “S.N.L.” veteran Maya Rudolph hosted an episode that featured multiple sketches celebrating moms — including a synchronized live musical number of Rudolph as “mother.”,https://www.nytimes.com/section/arts,0,1
arts,Roger Corman’s Best Movies: A Streaming Guide,"The producer and director ran what was essentially a trade school for future stars and filmmakers like Jack Nicholson, Francis Ford Coppola and Pam Grier.",https://www.nytimes.com/section/arts,0,1
business,Zimbabwe leading the sub-Saharan African lithium mining boom,THE past three years have witnessed a surge in hard-rock pegmatite lithium mining activity across,https://www.thezimbabwemail.com/category/business/,1,1
business,Mangudya Sets Ambitious Goals for State-Owned Enterprises Under MIF,"HARARE – Zimbabwe’s state-owned enterprises (SOEs), John Mangudya, Chief Executive Officer of the MUTAPA Investment",https://www.thezimbabwemail.com/category/business/,1,1
business,Businesses Urged to Shift Towards ZiG Payments as Tax Deadline Approaches,"HARARE – As Zimbabwe prepares for its upcoming quarterly tax deadline, businesses face a significant",https://www.thezimbabwemail.com/category/business/,1,1
business,Challenges Mount for Business Amid Forex Scarcity,HARARE – Businesses in Zimbabwe are facing significant hurdles in securing foreign currency from banks,https://www.thezimbabwemail.com/category/business/,1,1
business,London listed Ariana Resources Reports Significant Value Increase in Dokwe Project,Ariana Resources PLC has announced a substantial increase in the value of its Dokwe project,https://www.thezimbabwemail.com/category/business/,1,1
business,"Wholesalers Embrace ZiG Currency, Streamlining Trade Across Production and Retail Chain","HARARE – In a significant development, wholesalers have seamlessly integrated their systems with the newly",https://www.thezimbabwemail.com/category/business/,1,1
business,Iconic Meikles Hotel in Harare Renamed Hyatt Regency After Five-Year Acquisition,"Harare – Zimbabwe’s renowned Meikles Hotel, a historic landmark in the heart of Harare, has",https://www.thezimbabwemail.com/category/business/,1,1
business,PwC to Exit Zimbabwe as Deloitte’s Departure Sets Industry Precedent,"HARARE – PriceWaterhouseCoopers (PwC), one of the globe’s leading accountancy firms, is slated to withdraw",https://www.thezimbabwemail.com/category/business/,1,1
business,New Charter Airline Plans London-Harare Flights by June,"LONDON, UK – A UK-based virtual carrier, Fly Phoenix Direct Limited, is set to inaugurate",https://www.thezimbabwemail.com/category/business/,1,1
business,RBZ Governor Threatens Supermarkets with Licence Revocation Over Exchange Rate Violations,HARARE – Reserve Bank of Zimbabwe (RBZ) Governor John Mushayavhanu has issued a stern warning,https://www.thezimbabwemail.com/category/business/,1,1
politics,UK politics: government to appeal against ruling that blocks Rwanda deportations in Northern Ireland – as it happened,Rishi Sunak says Belfast judgment will not affect his plans and the Good Friday agreement should not be used to obstruct Westminster policy,https://www.theguardian.com/politics,2,0
politics,"Rwanda deportation law should not apply in Northern Ireland, court rules",UK government considers appeal after judge says act undermines post-Brexit human rights protections guaranteed in the region,https://www.theguardian.com/politics,2,0
politics,The Guardian view on maternity care failures: birth trauma can and should be reduced,"While Britons feast their eyes on the aurora borealis, the people of Ukraine and Gaza see the aurora of war",https://www.theguardian.com/politics,2,0
politics,"Rish!, the tough guy for tough times, gives the UK one last chance with him","Confronted with devastation in the Middle East, the west can only mouth platitudes",https://www.theguardian.com/politics,2,0
politics,EU’s Barnier says: just hours left for a Brexit trade deal,,https://www.newsday.co.zw/category/69/politics,2,0
politics,Zanu PF’s Bid to Extend Mnangagwa’s Presidency Sparks Concerns,HARARE – Recent remarks by President Emmerson Mnangagwa suggesting a desire to “rule forever” have,https://www.thezimbabwemail.com/category/politics/,2,0
politics,Mutsvangwa Accuses Chiwenga For His Son’s Arrest,"Harare,— In an unprecedented move, Zanu PF spokesman Chris Mutsvangwa launched a scathing attack on",https://www.thezimbabwemail.com/category/politics/,2,0
politics,Ramaphosa Defends ANC’s Invitation to ZANU PF Amid Opposition Backlash,JOAHHENSBURG – South African President Cyril Ramaphosa has brushed off criticism from opposition parties regarding,https://www.thezimbabwemail.com/category/politics/,2,0
politics,South African opposition in panic mode over Zanu PF-ANC team work,"JOHANNESBURG – South Africa’s official opposition, the Democratic Alliance (DA), has leveled accusations against the",https://www.thezimbabwemail.com/category/politics/,2,0
politics,Mnangagwa Appoints Commission to Probe Harare City Council,HARARE – President Emmerson Mnangagwa has taken a decisive step in addressing governance concerns within,https://www.thezimbabwemail.com/category/politics/,2,0
politics,SADC Engages Chamisa to Resolve Zimbabwe’s Electoral Dispute,HARARE – Engagements are currently underway between the Southern African Development Community (Sadc) and embattled,https://www.thezimbabwemail.com/category/politics/,2,0
politics,ANC looks to Zanu PF’s legendary survival instincts,"Zimbabwe’s ruling Zanu PF party has reportedly received an invitation from its ally, the African",https://www.thezimbabwemail.com/category/politics/,2,0
politics,ZBC Appoints Zanu PF Youth Leader as Acting CEO Amid Controversy,Harare – The Zimbabwe Broadcasting Corporation (ZBC) has stirred controversy with its recent appointment of,https://www.thezimbabwemail.com/category/politics/,2,0
politics,ZANU PF wades into Zimbabwe Gold Currency (ZiG),HARARE — ZANU PF’s Harare Province has voiced its support for the introduction of the,https://www.thezimbabwemail.com/category/politics/,2,0
politics,Job Sikhala to speak at UN Summit,"GENEVA – Job Sikhala, a prominent opposition figure and former Member of Parliament from Chitungwiza,",https://www.thezimbabwemail.com/category/politics/,2,0
business,Elon Musk’s Diplomacy: Woo Right-Wing World Leaders. Then Benefit.,Mr. Musk has built a constellation of like-minded heads of state — including Argentina’s Javier Milei and India’s Narendra Modi — to push his own politics and expand his business empire.,https://www.nytimes.com/section/business,1,1
business,U.S. Awards $120 Million to Chipmaker to Expand Facility in Minnesota,The grant is the latest federal award in a series stemming from the CHIPS and Science Act meant to ramp up domestic production of vital semiconductors.,https://www.nytimes.com/section/business,1,1
business,"Priced Out of Housing, Communities Take Development Into Their Own Hands","Across the country, neighborhood groups are uniting to fund mixed-use developments that meet housing and business demands, giving locals a place to live, work and learn new skills.",https://www.nytimes.com/section/business,1,1
business,"Honey, I Love You. Didn’t You See My Slack About It?",Some couples are using professional project-management software to maintain their relationships. Why does it bother other people?,https://www.nytimes.com/section/business,1,1
sports,Arsenal Edges Manchester United to Keep Premier League Title Race Alive,"Manchester,— The Premier League title race is heading for a thrilling climax as Arsenal reclaimed",https://www.thezimbabwemail.com/category/sports/,3,0
